    Word    Instances   % Frequency
220.    point   396 0.0390
221.    knew    395 0.0389
222.    City    394 0.0388
223.    next    394 0.0388
224.    program 394 0.0388
225.    business    393 0.0387
226.    give    391 0.0385
227.    group   390 0.0384
228.    toward  386 0.0380
229.    days    386 0.0380
230.    young   385 0.0379
231.    let 384 0.0378
232.    room    384 0.0378
233.    president   382 0.0376
234.    side    381 0.0375
235.    social  380 0.0374
236.    present 377 0.0371
237.    given   377 0.0371
238.    several 377 0.0371
239.    order   376 0.0370
240.    national    375 0.0369
241.    second  375 0.0369
242.    possible    373 0.0367
243.    rather  373 0.0367
244.    per 372 0.0366
245.    face    371 0.0365
246.    among   370 0.0364
247.    form    370 0.0364
248.    important   369 0.0363
249.    often   368 0.0362
250.    things  368 0.0362
251.    looked  367 0.0361
252.    early   366 0.0360
253.    White   365 0.0359
254.    John    362 0.0356
255.    case    362 0.0356
256.    become  361 0.0355
257.    large   361 0.0355
258.    need    360 0.0354
259.    big 360 0.0354
260.    Four    359 0.0353
261.    within  359 0.0353
262.    felt    357 0.0351
263.    children    355 0.0349
264.    along   355 0.0349
265.    saw 352 0.0346
266.    best    351 0.0345
267.    church  348 0.0343
268.    ever    345 0.0340
269.    least   343 0.0338
270.    power   343 0.0338
271.    development 334 0.0329
272.    thing   333 0.0328
273.    light   333 0.0328
274.    seemed  332 0.0327
275.    family  331 0.0326
276.    interest    330 0.0325
277.    want    329 0.0324
278.    members 327 0.0322
279.    others  325 0.0320
280.    mind    325 0.0320
281.    country 324 0.0319
282.    area    323 0.0318
283.    done    320 0.0315
284.    turned  320 0.0315
285.    although    319 0.0314
286.    open    319 0.0314
287.    God 318 0.0313
288.    service 315 0.0310
289.    problem 313 0.0308
290.    certain 313 0.0308
291.    kind    313 0.0308
292.    different   312 0.0307
293.    thus    312 0.0307
294.    began   312 0.0307
295.    door    312 0.0307
296.    help    311 0.0306
297.    means   310 0.0305
298.    sense   310 0.0305
299.    whole   309 0.0304
300.    matter  308 0.0303
301.    perhaps 307 0.0302
302.    itself  304 0.0299
303.    York    302 0.0297
304.    it's    302 0.0297
305.    times   300 0.0295
306.    law 299 0.0294
307.    human   299 0.0294
308.    line    298 0.0293
309.    above   296 0.0291
310.    name    294 0.0289
311.    example 292 0.0287
312.    action  291 0.0286
313.    Company 290 0.0285
314.    hands   289 0.0284
315.    local   288 0.0283
316.    show    287 0.0282
317.    whether 286 0.0282
318.    Five    286 0.0282
319.    history 286 0.0282
320.    gave    285 0.0281
321.    today   284 0.0280
322.    either  284 0.0280
323.    act 283 0.0279
324.    feet    283 0.0279
325.    across  282 0.0278
326.    taken   281 0.0277
327.    past    281 0.0277
328.    quite   281 0.0277
329.    anything    280 0.0276
330.    seen    279 0.0275
331.    having  279 0.0275
332.    death   277 0.0273
333.    week    276 0.0272
334.    experience  276 0.0272
335.    body    276 0.0272
336.    word    275 0.0271
337.    half    275 0.0271
338.    really  275 0.0271
339.    field   274 0.0270
340.    am  274 0.0270
341.    car 274 0.0270
342.    words   274 0.0270
343.    already 273 0.0269
344.    themselves  270 0.0266
345.    I'm 269 0.0265
346.    information 269 0.0265
347.    tell    268 0.0264
348.    together    267 0.0263
349.    college 267 0.0263
350.    shall   267 0.0263
351.    money   265 0.0261
352.    period  265 0.0261
353.    held    264 0.0260
354.    keep    264 0.0260
355.    sure    264 0.0260
356.    real    260 0.0256
357.    probably    260 0.0256
358.    free    260 0.0256
359.    seems   259 0.0255
360.    political   258 0.0254
361.    cannot  258 0.0254
362.    behind  258 0.0254
363.    Miss    258 0.0254
364.    question    257 0.0253
365.    air 257 0.0253
366.    Office  255 0.0251
367.    making  255 0.0251
368.    brought 253 0.0249
369.    whose   252 0.0248
370.    special 250 0.0246
371.    major   247 0.0243
372.    heard   247 0.0243
373.    problems    247 0.0243
374.    federal 246 0.0242
375.    became  246 0.0242
376.    study   246 0.0242
377.    ago 246 0.0242
378.    moment  246 0.0242
379.    available   245 0.0241
380.    known   245 0.0241
381.    result  244 0.0240
382.    street  244 0.0240
383.    Economic    243 0.0239
384.    boy 242 0.0238
385.    position    241 0.0237
386.    reason  241 0.0237
387.    change  240 0.0236
388.    South   240 0.0236
389.    Board   239 0.0235
390.    individual  239 0.0235
391.    job 239 0.0235
392.    areas   237 0.0233
393.    society 237 0.0233
394.    West    235 0.0231
395.    close   234 0.0230
396.    turn    233 0.0229
397.    love    232 0.0228
398.    community   231 0.0227
399.    true    231 0.0227
400.    Court   230 0.0226
401.    force   230 0.0226
402.    Full    230 0.0226
403.    cost    229 0.0225
404.    seem    229 0.0225
405.    wife    228 0.0224
406.    future  227 0.0223
407.    age 227 0.0223
408.    wanted  226 0.0222
409.    Department  225 0.0221
410.    voice   225 0.0221
411.    center  224 0.0220
412.    woman   224 0.0220
413.    control 223 0.0220
414.    common  223 0.0220
415.    policy  222 0.0219
416.    necessary   222 0.0219
417.    following   221 0.0218
418.    front   221 0.0218
419.    sometimes   221 0.0218
420.    six 220 0.0217
421.    girl    220 0.0217
422.    clear   219 0.0216
423.    further 218 0.0215
424.    land    218 0.0215
425.    run 217 0.0214
426.    students    217 0.0214
427.    provide 216 0.0213
428.    feel    216 0.0213
429.    Party   216 0.0213
430.    able    216 0.0213
431.    mother  216 0.0213
432.    Music   216 0.0213
433.    education   214 0.0211
434.    University  214 0.0211
435.    child   213 0.0210
436.    effect  213 0.0210
437.    level   213 0.0210
438.    stood   212 0.0209
439.    military    212 0.0209
440.    town    212 0.0209
441.    short   212 0.0209
442.    morning 211 0.0208
443.    total   211 0.0208
444.    outside 210 0.0207
445.    rate    209 0.0206
446.    figure  209 0.0206
447.    Class   209 0.0206
448.    Art 208 0.0205
449.    century 207 0.0204
450.    Washington  206 0.0203
451.    North   206 0.0203
452.    usually 206 0.0203
453.    plan    205 0.0202
454.    leave   205 0.0202
455.    therefore   205 0.0202
456.    evidence    204 0.0201
457.    top 204 0.0201
458.    million 204 0.0201
459.    sound   204 0.0201
460.    black   203 0.0200
461.    strong  202 0.0199
462.    hard    202 0.0199
463.    various 201 0.0198
464.    says    200 0.0197
465.    believe 200 0.0197
466.    type    200 0.0197
467.    value   200 0.0197
468.    play    200 0.0197
469.    surface 200 0.0197
470.    soon    199 0.0196
471.    mean    199 0.0196
472.    near    198 0.0195
473.    lines   198 0.0195
474.    table   198 0.0195
475.    Peace   198 0.0195
476.    modern  198 0.0195
477.    Tax 197 0.0194
478.    road    197 0.0194
479.    Red 197 0.0194
480.    book    197 0.0194
481.    personal    196 0.0193
482.    process 196 0.0193
483.    situation   196 0.0193
484.    minutes 196 0.0193
485.    increase    195 0.0192
486.    schools 195 0.0192
487.    idea    195 0.0192
488.    English 195 0.0192
489.    alone   195 0.0192
490.    women   195 0.0192
491.    gone    195 0.0192
492.    nor 195 0.0192
493.    living  194 0.0191
494.    months  194 0.0191
495.    America 194 0.0191
496.    started 194 0.0191
497.    longer  193 0.0190
498.    Dr  192 0.0189
499.    cut 192 0.0189
500.    finally 191 0.0188
501.    third   191 0.0188
502.    secretary   191 0.0188
503.    nature  191 0.0188
504.    private 191 0.0188
505.    section 189 0.0186
506.    greater 188 0.0185
507.    call    188 0.0185
508.    fire    187 0.0184
509.    expected    187 0.0184
510.    needed  187 0.0184
511.    That's  187 0.0184
512.    kept    186 0.0183
513.    ground  186 0.0183
514.    view    186 0.0183
515.    values  186 0.0183
516.    Everything  185 0.0182
517.    pressure    185 0.0182
518.    dark    185 0.0182
519.    basis   184 0.0181
520.    space   184 0.0181
521.    East    183 0.0180
522.    father  183 0.0180
523.    required    182 0.0179
524.    Union   182 0.0179
525.    spirit  182 0.0179
526.    except  181 0.0178
527.    complete    181 0.0178
528.    wrote   181 0.0178
529.    I'll    181 0.0178
530.    moved   181 0.0178
531.    support 180 0.0177
532.    return  180 0.0177
533.    conditions  180 0.0177
534.    recent  179 0.0176
535.    attention   179 0.0176
536.    late    179 0.0176
537.    particular  179 0.0176
538.    nations 178 0.0175
539.    hope    178 0.0175
540.    live    177 0.0174
541.    costs   176 0.0173
542.    else    176 0.0173
543.    Brown   176 0.0173
544.    taking  175 0.0172
545.    couldn't    175 0.0172
546.    hours   175 0.0172
547.    person  175 0.0172
548.    forces  175 0.0172
549.    beyond  175 0.0172
550.    report  174 0.0171
551.    coming  174 0.0171
552.    inside  174 0.0171
553.    dead    174 0.0171
554.    low 174 0.0171
555.    stage   174 0.0171
556.    material    174 0.0171
557.    read    173 0.0170
558.    Instead 173 0.0170
559.    lost    173 0.0170
560.    St  173 0.0170
561.    heart   173 0.0170
562.    looking 173 0.0170
563.    Miles   173 0.0170
564.    data    173 0.0170
565.    added   172 0.0169
566.    pay 172 0.0169
567.    amount  172 0.0169
568.    followed    172 0.0169
569.    feeling 172 0.0169
570.    single  172 0.0169
571.    makes   172 0.0169
572.    research    171 0.0168
573.    including   171 0.0168
574.    basic   171 0.0168
575.    hundred 171 0.0168
576.    move    171 0.0168
577.    industry    171 0.0168
578.    cold    171 0.0168
579.    developed   170 0.0167
580.    tried   170 0.0167
581.    simply  170 0.0167
582.    hold    169 0.0166
583.    can't   169 0.0166
584.    reached 169 0.0166
585.    Committee   168 0.0165
586.    Island  167 0.0164
587.    defense 167 0.0164
588.    equipment   167 0.0164
589.    son 166 0.0163
590.    Actually    166 0.0163
591.    shown   166 0.0163
592.    religious   165 0.0162
593.    ten 165 0.0162
594.    River   165 0.0162
595.    getting 164 0.0161
596.    Central 164 0.0161
597.    beginning   164 0.0161
598.    sort    164 0.0161
599.    received    163 0.0160
600.    doing   163 0.0160
601.    terms   163 0.0160
602.    trying  163 0.0160
603.    friends 163 0.0160
604.    rest    163 0.0160
605.    medical 162 0.0159
606.    care    162 0.0159
607.    especially  162 0.0159
608.    picture 162 0.0159
609.    Indeed  162 0.0159
610.    administration  161 0.0158
611.    fine    161 0.0158
612.    subject 161 0.0158
613.    higher  161 0.0158
614.    difficult   161 0.0158
615.    simple  161 0.0158
616.    range   160 0.0157
617.    building    160 0.0157
618.    wall    160 0.0157
619.    meeting 159 0.0157
620.    walked  159 0.0157
621.    cent    158 0.0156
622.    floor   158 0.0156
623.    Foreign 158 0.0156
624.    bring   158 0.0156
625.    similar 157 0.0155
626.    passed  157 0.0155
627.    paper   157 0.0155
628.    property    156 0.0154
629.    NATURAL 156 0.0154
630.    final   156 0.0154
631.    training    156 0.0154
632.    County  155 0.0153
633.    Police  155 0.0153
634.    Congress    155 0.0153
635.    international   155 0.0153
636.    growth  155 0.0153
637.    market  155 0.0153
638.    wasn't  154 0.0152
639.    talk    154 0.0152
640.    start   154 0.0152
641.    England 154 0.0152
642.    written 154 0.0152
643.    story   154 0.0152
644.    hear    153 0.0151
645.    Suddenly    153 0.0151
646.    issue   152 0.0150
647.    needs   152 0.0150
648.    answer  152 0.0150
649.    hall    152 0.0150
650.    likely  151 0.0149
651.    working 151 0.0149
652.    countries   151 0.0149
653.    considered  151 0.0149
654.    You're  151 0.0149
655.    earth   150 0.0148
656.    sat 150 0.0148
657.    purpose 149 0.0147
658.    hour    149 0.0147
659.    Labor   149 0.0147
660.    results 149 0.0147
661.    entire  149 0.0147
662.    happened    149 0.0147
663.    William 148 0.0146
664.    cases   148 0.0146
665.    meet    148 0.0146
666.    stand   148 0.0146
667.    difference  148 0.0146
668.    production  148 0.0146
669.    hair    148 0.0146
670.    involved    147 0.0145
671.    fall    147 0.0145
672.    Stock   147 0.0145
673.    food    147 0.0145
674.    earlier 146 0.0144
675.    increased   146 0.0144
676.    whom    146 0.0144
677.    particularly    146 0.0144
678.    boys    146 0.0144
679.    paid    145 0.0143
680.    sent    145 0.0143
681.    effort  145 0.0143
682.    knowledge   145 0.0143
683.    letter  145 0.0143
684.    Club    145 0.0143
685.    using   145 0.0143
686.    below   145 0.0143
687.    thinking    145 0.0143
688.    Yes 144 0.0142
689.    Christian   144 0.0142
690.    girls   144 0.0142
691.    Blue    143 0.0141
692.    ready   143 0.0141
693.    bill    143 0.0141
694.    color   143 0.0141
695.    weeks   143 0.0141
696.    points  143 0.0141
697.    trade   143 0.0141
698.    certainly   143 0.0141
699.    ideas   143 0.0141
700.    industrial  143 0.0141
701.    SQUARE  143 0.0141
702.    methods 142 0.0140
703.    addition    142 0.0140
704.    deal    142 0.0140
705.    method  142 0.0140
706.    bad 142 0.0140
707.    DUE 142 0.0140
708.    moral   142 0.0140
709.    decided 141 0.0139
710.    statement   141 0.0139
711.    neither 141 0.0139
712.    nearly  141 0.0139
713.    directly    141 0.0139
714.    showed  141 0.0139
715.    throughout  141 0.0139
716.    questions   140 0.0138
717.    Kennedy 140 0.0138
718.    reading 140 0.0138
719.    anyone  140 0.0138
720.    try 140 0.0138
721.    services    139 0.0137
722.    according   139 0.0137
723.    programs    139 0.0137
724.    nation  139 0.0137
725.    lay 139 0.0137
726.    French  139 0.0137
727.    size    138 0.0136
728.    remember    138 0.0136
729.    physical    138 0.0136
730.    record  137 0.0135
731.    member  137 0.0135
732.    comes   137 0.0135
733.    understand  137 0.0135
734.    Southern    137 0.0135
735.    Western 137 0.0135
736.    population  136 0.0134
737.    normal  136 0.0134
738.    strength    136 0.0134
739.    aid 135 0.0133
740.    merely  135 0.0133
741.    District    135 0.0133
742.    volume  135 0.0133
743.    concerned   135 0.0133
744.    month   135 0.0133
745.    appeared    135 0.0133
746.    temperature 135 0.0133
747.    trouble 134 0.0132
748.    trial   134 0.0132
749.    summer  134 0.0132
750.    direction   134 0.0132
751.    ran 134 0.0132
752.    Maybe   134 0.0132
753.    E   133 0.0131
754.    sales   133 0.0131
755.    student 133 0.0131
756.    list    133 0.0131
757.    continued   133 0.0131
758.    Friend  133 0.0131
759.    evening 133 0.0131
760.    literature  133 0.0131
761.    generally   132 0.0130
762.    Association 132 0.0130
763.    provided    132 0.0130
764.    led 132 0.0130
765.    Army    132 0.0130
766.    met 132 0.0130
767.    influence   132 0.0130
768.    piece   132 0.0130
769.    opened  131 0.0129
770.    former  131 0.0129
771.    Science 131 0.0129
772.    step    131 0.0129
773.    changes 131 0.0129
774.    chance  131 0.0129
775.    husband 131 0.0129
776.    hot 130 0.0128
777.    series  130 0.0128
778.    average 130 0.0128
779.    works   130 0.0128
780.    cause   130 0.0128
781.    effective   129 0.0127
782.    George  129 0.0127
783.    planning    129 0.0127
784.    degree  129 0.0127
785.    systems 129 0.0127
786.    WOULDN'T    129 0.0127
787.    direct  129 0.0127
788.    Soviet  129 0.0127
789.    stopped 129 0.0127
790.    wrong   129 0.0127
791.    lead    129 0.0127
792.    myself  129 0.0127
793.    theory  129 0.0127
794.    ASK 128 0.0126
795.    worked  128 0.0126
796.    freedom 128 0.0126
797.    clearly 128 0.0126
798.    movement    128 0.0126
799.    ways    128 0.0126
800.    forms   128 0.0126
801.    press   127 0.0125
802.    Organization    127 0.0125
803.    somewhat    127 0.0125
804.    spring  127 0.0125
805.    efforts 127 0.0125
806.    consider    127 0.0125
807.    meaning 127 0.0125
808.    bed 127 0.0125
809.    fear    127 0.0125
810.    lot 127 0.0125
811.    treatment   127 0.0125
812.    beautiful   127 0.0125
813.    note    127 0.0125
814.    placed  126 0.0124
815.    Hotel   126 0.0124
816.    truth   126 0.0124
817.    game    126 0.0124
818.    apparently  125 0.0123
819.    groups  125 0.0123
820.    he's    125 0.0123
821.    plant   125 0.0123
822.    carried 125 0.0123
823.    easy    125 0.0123
824.    WIDE    125 0.0123
825.    farm    125 0.0123
826.    I've    125 0.0123
827.    respect 125 0.0123
828.    man's   125 0.0123
829.    herself 125 0.0123
830.    numbers 125 0.0123
831.    manner  124 0.0122
832.    REACTION    124 0.0122
833.    immediately 123 0.0121
834.    radio   123 0.0121
835.    running 123 0.0121
836.    approach    123 0.0121
837.    recently    123 0.0121
838.    larger  123 0.0121
839.    lower   123 0.0121
840.    feed    123 0.0121
841.    charge  122 0.0120
842.    couple  122 0.0120
843.    daily   122 0.0120
844.    eye 122 0.0120
845.    performance 122 0.0120
846.    Middle  122 0.0120
847.    Oh  122 0.0120
848.    March   121 0.0119
849.    persons 121 0.0119
850.    understanding   121 0.0119
851.    arms    121 0.0119
852.    opportunity 121 0.0119
853.    blood   121 0.0119
854.    additional  120 0.0118
855.    technical   120 0.0118
856.    served  120 0.0118
857.    described   120 0.0118
858.    stop    120 0.0118
859.    progress    120 0.0118
860.    steps   119 0.0117
861.    test    119 0.0117
862.    chief   119 0.0117
863.    reported    119 0.0117
864.    based   119 0.0117
865.    main    119 0.0117
866.    determined  119 0.0117
867.    image   119 0.0117
868.    decision    119 0.0117
869.    window  119 0.0117
870.    religion    119 0.0117
871.    gun 118 0.0116
872.    appear  118 0.0116
873.    responsibility  118 0.0116
874.    Europe  118 0.0116
875.    British 118 0.0116
876.    character   118 0.0116
877.    learned 117 0.0115
878.    horse   117 0.0115
879.    writing 117 0.0115
880.    account 117 0.0115
881.    ones    116 0.0114
882.    fiscal  116 0.0114
883.    serious 116 0.0114
884.    activity    116 0.0114
885.    types   116 0.0114
886.    corner  116 0.0114
887.    Green   116 0.0114
888.    length  116 0.0114
889.    hit 116 0.0114
890.    lived   115 0.0113
891.    audience    115 0.0113
892.    letters 115 0.0113
893.    returned    115 0.0113
894.    obtained    115 0.0113
895.    nuclear 115 0.0113
896.    specific    115 0.0113
897.    forward 115 0.0113
898.    straight    115 0.0113
899.    activities  115 0.0113
900.    slowly  115 0.0113
901.    shot    114 0.0112
902.    doubt   114 0.0112
903.    seven   114 0.0112
904.    justice 114 0.0112
905.    moving  114 0.0112
906.    latter  114 0.0112
907.    plane   114 0.0112
908.    quality 114 0.0112
909.    design  114 0.0112
910.    obviously   114 0.0112
911.    operation   113 0.0111
912.    plans   113 0.0111
913.    choice  113 0.0111
914.    poor    113 0.0111
915.    staff   113 0.0111
916.    function    113 0.0111
917.    figures 113 0.0111
918.    parts   113 0.0111
919.    stay    113 0.0111
920.    saying  113 0.0111
921.    include 113 0.0111
922.    born    113 0.0111
923.    pattern 113 0.0111
924.    gives   112 0.0110
925.    whatever    112 0.0110
926.    sun 112 0.0110
927.    cars    111 0.0109
928.    faith   111 0.0109
929.    pool    111 0.0109
930.    Hospital    110 0.0108
931.    Mass    110 0.0108
932.    wish    110 0.0108
933.    lack    110 0.0108
934.    completely  110 0.0108
935.    heavy   110 0.0108
936.    waiting 110 0.0108
937.    speak   110 0.0108
938.    ball    110 0.0108
939.    Standard    110 0.0108
940.    extent  110 0.0108
941.    visit   109 0.0107
942.    Democratic  109 0.0107
943.    Corps   109 0.0107
944.    firm    109 0.0107
945.    income  109 0.0107
946.    AHEAD   109 0.0107
947.    deep    109 0.0107
948.    there's 109 0.0107
949.    EFFECTS 109 0.0107
950.    language    109 0.0107
951.    principle   109 0.0107
952.    none    108 0.0106
953.    Price   108 0.0106
954.    designed    108 0.0106
955.    indicated   108 0.0106
956.    analysis    108 0.0106
957.    distance    108 0.0106
958.    expect  108 0.0106
959.    established 108 0.0106
960.    products    108 0.0106
961.    growing 108 0.0106
962.    importance  108 0.0106
963.    continue    107 0.0105
964.    serve   107 0.0105
965.    determine   107 0.0105
966.    cities  107 0.0105
967.    elements    107 0.0105
968.    leaders 107 0.0105
969.    division    107 0.0105
970.    pretty  107 0.0105
971.    EXISTENCE   107 0.0105
972.    attitude    107 0.0105
973.    stress  107 0.0105
974.    afternoon   106 0.0104
975.    limited 106 0.0104
976.    hardly  106 0.0104
977.    Thomas  106 0.0104
978.    agreement   106 0.0104
979.    factors 106 0.0104
980.    scene   106 0.0104
981.    easily  106 0.0104
982.    closed  106 0.0104
983.    write   106 0.0104
984.    reach   106 0.0104
985.    applied 106 0.0104
986.    Health  105 0.0103
987.    married 105 0.0103
988.    suggested   105 0.0103
989.    attack  105 0.0103
990.    Rhode   105 0.0103
991.    interested  105 0.0103
992.    Station 105 0.0103
993.    professional    105 0.0103
994.    remained    105 0.0103
995.    won't   105 0.0103
996.    drive   105 0.0103
997.    season  105 0.0103
998.    Despite 104 0.0102
999.    unit    104 0.0102
1000.   current 104 0.0102
1001.   spent   104 0.0102
1002.   eight   104 0.0102
1003.   covered 104 0.0102
1004.   Negro   104 0.0102
1005.   role    104 0.0102
1006.   played  104 0.0102
1007.   I'd 104 0.0102
1008.   date    103 0.0101
1009.   council 103 0.0101
1010.   race    103 0.0101
1011.   Charles 103 0.0101
1012.   Commission  103 0.0101
1013.   original    103 0.0101
1014.   mouth   103 0.0101
1015.   reasons 103 0.0101
1016.   studies 103 0.0101
1017.   exactly 103 0.0101
1018.   machine 103 0.0101
1019.   built   103 0.0101
1020.   teeth   103 0.0101
1021.   James   102 0.0100
1022.   relations   102 0.0100
1023.   rise    102 0.0100
1024.   DEMAND  102 0.0100
1025.   prepared    102 0.0100
1026.   related 102 0.0100
1027.   rates   102 0.0100
1028.   news    102 0.0100
1029.   supply  102 0.0100
1030.   trees   102 0.0100
1031.   becomes 102 0.0100
1032.   director    101 0.0099
1033.   Sunday  101 0.0099
1034.   bit 101 0.0099
1035.   raised  101 0.0099
1036.   events  101 0.0099
1037.   unless  101 0.0099
1038.   officer 101 0.0099
1039.   dropped 101 0.0099
1040.   playing 101 0.0099
1041.   standing    101 0.0099
1042.   doctor  100 0.0098
1043.   places  100 0.0098
1044.   walk    100 0.0098
1045.   energy  100 0.0098
1046.   Talking 100 0.0098
1047.   meant   100 0.0098
1048.   Clay    100 0.0098
1049.   actual  100 0.0098
1050.   sides   100 0.0098
1051.   facilities  99  0.0097
1052.   filled  99  0.0097
1053.   techniques  99  0.0097
1054.   JUNE    99  0.0097
1055.   knows   99  0.0097
1056.   hadn't  99  0.0097
1057.   Glass   99  0.0097
1058.   poet    99  0.0097
1059.   fight   98  0.0096
1060.   dollars 98  0.0096
1061.   GAS 98  0.0096
1062.   concern 98  0.0096
1063.   caught  98  0.0096
1064.   share   98  0.0096
1065.   popular 98  0.0096
1066.   claim   98  0.0096
1067.   entered 98  0.0096
1068.   Chicago 98  0.0096
1069.   happy   98  0.0096
1070.   bridge  98  0.0096
1071.   jazz    98  0.0096
1072.   institutions    98  0.0096
1073.   materials   98  0.0096
1074.   style   98  0.0096
1075.   he'd    98  0.0096
1076.   follow  97  0.0095
1077.   parents 97  0.0095
1078.   Communist   97  0.0095
1079.   status  97  0.0095
1080.   included    97  0.0095
1081.   thousand    97  0.0095
1082.   Christ  97  0.0095
1083.   isn't   97  0.0095
1084.   heat    97  0.0095
1085.   radiation   97  0.0095
1086.   cattle  97  0.0095
1087.   suppose 97  0.0095
1088.   primary 96  0.0094
